x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s,t=5.00e+00s,t=1.00e+01s
6.953124999999999670e-04,8.903188893539337025e-50,1.421564845365213524e-47,1.591907664605845747e-44,1.020895073097277983e-44,1.612135650433661389e-43,1.414443089327619137e-41
7.031249999999999740e-04,-1.650384628377026247e-50,-2.703507723763496684e-48,-3.462535063640083370e-45,-2.667126147846323728e-45,-1.743936326121979753e-44,-3.285795532620508352e-42
7.109374999999999809e-04,3.058776690641203727e-51,5.139144125320677921e-49,7.498214810779389812e-46,6.521399102645461762e-46,-1.592022186502818422e-45,1.743632551459318443e-43
7.187499999999999879e-04,-5.667945066214646823e-52,-9.764742046372083280e-50,-1.617100463374480148e-46,-1.512935974046499771e-46,1.399053262020161967e-45,1.084401729161170185e-43
7.265624999999999948e-04,1.050042548685537865e-52,1.854563965463334975e-50,3.474120457919528884e-47,3.350952477656851981e-47,-4.192349166118344501e-46,-3.605345274501310291e-44
7.343750000000000017e-04,-1.944794865467076788e-53,-3.520771783147669669e-51,-7.436737335075616587e-48,-7.095722559206298838e-48,8.179062889922514375e-47,4.301304289152078857e-45
7.421875000000000087e-04,3.600808336612833746e-54,6.681170065465947753e-52,1.586500343131823368e-48,1.432370602022488904e-48,-9.010345968190893581e-48,5.579466194028128326e-46
7.500000000000000156e-04,-6.664180548581793705e-55,-1.267327603443709736e-52,-3.373646286835931141e-49,-2.733167072551406855e-49,-7.098961314171415712e-49,-3.480753628238198372e-46
7.578125000000000226e-04,1.232699461044397885e-55,2.402976501869073268e-53,7.152112545127746370e-50,4.839377256377252833e-50,6.875009645973915928e-49,6.633527927894933413e-47
7.656250000000000295e-04,-2.278495327891711029e-56,-4.554452860044144326e-54,-1.511860172195039339e-50,-7.620238024301956640e-51,-2.129185098737256038e-49,-1.448413770052954794e-48
7.734375000000000364e-04,4.207244121879812629e-57,8.628787044850997981e-55,3.187077663066545089e-51,9.409937854047766277e-52,4.364767849712341609e-50,-2.717504395487132746e-48
7.812500000000000434e-04,-7.757596155014307858e-58,-1.634141188171181763e-55,-6.700905970627278500e-52,-3.647159993641616597e-53,-5.523045724847911752e-51,8.047442748952337155e-49
7.890625000000000503e-04,1.427490783281390509e-58,3.093522272099911156e-56,1.405354441393799724e-52,-2.994961466482695903e-53,-1.004512265896818529e-52,-9.214146933609301579e-50
7.968750000000000572e-04,-2.619064723616068005e-59,-5.853770789231685617e-57,-2.940338316806611862e-53,1.472646786185253465e-53,3.023498165809888279e-52,-1.247568290866985823e-50
8.046875000000000642e-04,4.784789251697717647e-60,1.107205583417626249e-57,6.137788003881736263e-54,-4.917020932290514710e-54,-1.051941888311504822e-52,7.778353722564389166e-51
8.125000000000000711e-04,-8.686377620921115526e-61,-2.093230461208882726e-58,-1.278410995176771824e-54,1.412862064360365934e-54,2.380946626441012154e-53,-1.576711268713663014e-51
8.203124999999999696e-04,1.562083917474001767e-61,3.955313290261430961e-59,2.657120060534450798e-55,-3.728819279275794108e-55,-3.637042763694765565e-54,7.513134901602963839e-53
8.281249999999999766e-04,-2.768673042316450455e-62,-7.469443829204207073e-60,-5.511494735628007510e-56,9.287074451620633748e-56,1.853520283244236094e-55,5.309928542492610171e-53
8.359374999999999835e-04,4.795962846271258708e-63,1.409590199997714668e-60,1.140980719462139077e-56,-2.212412489608864974e-56,1.072529758483637565e-55,-1.856834225139877504e-53
8.437499999999999905e-04,-7.996723311696033032e-64,-2.657830408465890268e-61,-2.357593669102853111e-57,5.077307436176409468e-57,-4.841331398475475241e-56,2.780921441883018199e-54
8.515624999999999974e-04,1.244423915721661410e-64,5.006032382919766140e-62,4.862621803985357635e-58,-1.126494761425736438e-57,1.268430796104127859e-56,8.028998512525931546e-56
8.593750000000000043e-04,-1.672188830755550962e-65,-9.415652566170737325e-63,-1.001175743682484827e-58,2.418901798400745946e-58,-2.352781493074446570e-57,-1.543798402244918237e-55
8.671875000000000113e-04,1.405032610476000320e-66,1.767633660462415354e-63,2.057852530222272587e-59,-5.021068428177009803e-59,2.593438005123086800e-58,4.084820963861517429e-56
8.750000000000000182e-04,1.925374441709267323e-67,-3.309941909198127713e-64,-4.222859608710917443e-60,1.003743109716800885e-59,1.730960804180430982e-59,-4.575133207118237601e-57
8.828125000000000252e-04,-1.568545558055645475e-67,6.175852898712713917e-65,8.651880793762570142e-61,-1.917612685861479994e-60,-1.895616812205173593e-59,-5.954350212349643043e-58
8.906250000000000321e-04,6.150062123426983764e-68,-1.146498867656713873e-65,-1.769895806547573564e-61,3.449559755688521371e-61,6.226360511388580304e-60,3.912118047189497646e-58
8.984375000000000390e-04,-2.008054481915499024e-68,2.112880332488028074e-66,3.615254171341195723e-62,-5.664769796409949768e-62,-1.408510383776583515e-60,-8.716356346123514745e-59
9.062500000000000460e-04,6.046651692765277950e-69,-3.852104398673786502e-67,-7.374007423368168211e-63,7.847225569367645084e-63,2.259333609718488312e-61,7.289467431063284009e-60
9.140625000000000529e-04,-1.743375675528697830e-69,6.909498649230525739e-68,1.501967682138638701e-63,-6.567392950482248974e-64,-1.658622069904823513e-62,1.961902347394375372e-60
9.218750000000000598e-04,4.899141660201604394e-70,-1.208075465267000656e-68,-3.055115958421499744e-64,-9.613288959005958108e-65,-4.693665438966816424e-63,-9.321340146186222966e-61
9.296875000000000668e-04,-1.354838112637695616e-70,2.024464085742297253e-69,6.206144940308884492e-65,7.380311210951637385e-65,2.566205078099551552e-63,1.867804747983340757e-61
9.374999999999999653e-04,3.708146950693046066e-71,-3.139622329970381653e-70,-1.259097959240637013e-65,-2.745286619255163693e-65,-7.394720690236666510e-64,-1.207551739166591644e-62
9.453124999999999722e-04,-1.007990921346833642e-71,4.108089069214664192e-71,2.551268408945285719e-66,8.363428166422865359e-66,1.548545483886299590e-64,-5.212050892508154524e-63
9.531249999999999792e-04,2.727516121054036328e-72,-2.900459247688361165e-72,-5.163294175319709893e-67,-2.307009120203908320e-66,-2.274704769432344023e-65,2.157660976188670259e-63
9.609374999999999861e-04,-7.357562218642797406e-73,-7.493565885792552578e-73,1.043725470077132969e-67,5.981511388693156400e-67,1.118069232627981802e-66,-4.106971429658281156e-64
9.687499999999999931e-04,1.980594368834604589e-73,4.881830734014314386e-73,-2.107412612482479031e-68,-1.484074320375242948e-67,6.766967518489261601e-67,2.321518214482036552e-65
9.765625000000000000e-04,-5.325630946750193354e-74,-1.849934470473421516e-73,4.250655393265460035e-69,3.558706844668551377e-68,-3.109784628473076350e-67,1.240117602513511239e-65
9.843750000000000069e-04,1.436969430450039592e-74,6.011702798366924208e-74,-8.577174641134806588e-70,-8.311852384803957258e-69,8.543060472594922726e-68,-4.924915930638554691e-66
9.921875000000000139e-04,-4.112179160901661114e-75,-1.936549997003861149e-74,1.793011200747766309e-70,1.975804718507137364e-69,-1.762844978879185471e-68,9.126865771457004475e-67
1.000000000000000021e-03,2.057970372980993216e-75,1.032073282359094598e-74,-6.929967613822411148e-71,-8.373081347666497831e-70,5.074272560159408353e-69,-1.144759554210085416e-67
